Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Cayman Islands,Americas,368,5599.51,9,1,2,30.43,0,0,Sporadic cases
Bonaire,Americas,329,15730.34,75,11,3,143.44,0,0,Community transmission
Guernsey,Europe,308,4873.73,6,0,13,205.71,0,0,Community transmission
Saint Barthélemy,Americas,224,22660.6,33,0,0,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,184,1878.91,17,0,6,61.27,1,0,Sporadic cases
Brunei Darussalam,Western Pacific,174,397.73,1,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,139,1235.3,8,0,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,128,2223.88,3,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,121,4001.72,7,7,1,33.07,0,0,Clusters of cases
Dominica,Americas,109,1514.08,3,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,53,59.12,0,0,2,2.23,0,0,Sporadic cases
Timor-Leste,South-East Asia,52,39.44,3,1,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,41,143.61,1,1,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,34,639.19,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,32,9187.48,3,0,0,0,0,0,No cases
Greenland,Europe,30,528.43,1,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,19,6052.88,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,5,2586.65,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Micronesia (Federated States of),Western Pacific,1,8.69,1,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
